location,name,country,province,kg_n_per_year,passengers,year,country_code,name_en,kg_p_per_year
"65.77916667, 24.58472222",Kemi-Tornio Airport,Finland,Pohjois- ja Itä-Suomi,1.29668,1684,,FI,Kemi-Tornio Airport,0.129668
"45.99092778, 18.24098333",Pécs-Pogány International Airport,Hungary,Dél-Dunántúl,11.55616,15008,,HU,Pécs-Pogány International Airport,1.155616
"35.159647, 33.488372",Ercan International Airport,Cyprus,Kýpros,313.78732,407516,,CY,Ercan International Airport,31.378732
"52.3081, 4.764169444",Amsterdam Schiphol Airport,Netherlands,Noord-Holland,51457.90881,66828453,,NL,Amsterdam Schiphol Airport,5145.790881
"50.03330556, 8.570455555",Frankfurt Airport,Germany,Darmstadt,47405.01689,61564957,,DE,Frankfurt Airport,4740.501689
"45.66547, 9.69948",Bergamo-Il Caravaggio,Italy,Lombardia,13362.25121,17353573,,IT,Bergamo-Il Caravaggio,1336.225121
"45.81, 21.33805556",Traian Vuia International Airport,Romania,Vest,1019.2413,1323690,,RO,Traian Vuia International Airport,101.92413
"53.63038889, 9.988227777",Hamburg Airport,Germany,Hamburg,11420.41747,14831711,,DE,Hamburg Airport,1142.041747
"46.64277778, 14.33722222",Klagenfurt Airport,Austria,Kärnten,106.13988,137844,,AT,Klagenfurt Airport,10.613988
"44.81944444, 20.30694444",Belgrade Nikola Tesla Airport,RS,City of Belgrade,6443.30687,8367931,,RS,Belgrade Nikola Tesla Airport,644.330687
"60.31722222, 24.96333333",Helsinki Airport,Finland,Helsinki-Uusimaa,12557.78678,16308814,,FI,Helsinki Airport,1255.778678
"43.35194444, 77.04055556",Almaty International Airport,,,8798.5205,11426650,,,Almaty International Airport,879.85205
"47.43944444, 19.26194444",Budapest Ferenc Liszt International Airport,Hungary,Budapest,13532.29801,17574413,,HU,Budapest Ferenc Liszt International Airport,1353.229801
"55.044192, -8.341",Donegal Airport,Ireland,Northern and Western,38.9081,50530,,IE,Donegal Airport,3.89081
"42.77, -1.647",Pamplona Airport,Spain,Comunidad Foral de Navarra,169.58711,220243,,ES,Pamplona Airport,16.958711
"43.33722222, 21.85361111",Niš Constantine the Great Airport,RS,Region Južne i Istočne Srbije,275.13101,357313,,RS,Niš Constantine the Great Airport,27.513101
"45.63, 8.723055555","Milan–Malpensa ""Silvio Berlusconi"" Airport",Italy,Lombardia,22260.98336,28910368,,IT,"Milan–Malpensa ""Silvio Berlusconi"" Airport",2226.098336
"47.703413, 22.885605",Satu Mare International Airport,Romania,Nord-Vest,54.05862,70206,,RO,Satu Mare International Airport,5.405862
"48.35378333, 11.78608611",Munich Airport,Germany,Oberbayern,32007.36,41568000,,DE,Munich Airport,3200.736
"44.50361111, 26.10361111",Bucharest Băneasa Aurel Vlaicu International Airport,Romania,Bucureşti-Ilfov,82.45699,107087,,RO,Bucharest Băneasa Aurel Vlaicu International Airport,8.245699
"45.06277778, 28.71444444",Tulcea Airport,Romania,Sud-Est,1.24817,1621,,RO,Tulcea Airport,0.124817
"46.785092, 23.68612",Cluj International Airport,Romania,Nord-Vest,2515.16419,3266447,,RO,Cluj International Airport,251.516419
"46.52194444, 26.91027778",Bacău International Airport,Romania,Nord-Est,430.92588,559644,,RO,Bacău International Airport,43.092588
"52.16583333, 20.96722222",Warsaw Chopin Airport,Poland,Warszawski stołeczny,16371.59062,21261806,,PL,Warsaw Chopin Airport,1637.159062
"47.65833333, 23.46638889",Maramures International Airport,Romania,Nord-Vest,66.93456,86928,,RO,Maramures International Airport,6.693456
"43.80861111, 11.20277778",Florence Peretola Airport,Italy,Toscana,2708.03225,3516925,,IT,Florence Peretola Airport,270.803225
"47.17888889, 27.62",Iași International Airport,Romania,Nord-Est,1691.53061,2196793,,RO,Iași International Airport,169.153061
"47.26027778, 11.34388889",Innsbruck Airport,Austria,Tirol,663.89554,862202,,AT,Innsbruck Airport,66.389554
"43.68388889, 10.3925",Pisa International Airport “Galileo Galilei”,Italy,Toscana,4271.19616,5547008,,IT,Pisa International Airport “Galileo Galilei”,427.119616
"46.171736, 21.276682",Arad International Airport,Romania,Vest,11.7579,15270,,RO,Arad International Airport,1.17579
"50.07777778, 19.78472222",John Paul II International Airport Kraków-Balice,Poland,Małopolskie,8532.2391,11080830,,PL,John Paul II International Airport Kraków-Balice,853.22391
"46.21916667, 7.326944444",Sion Airport,Switzerland,Région lémanique,24.51834,31842,,CH,Sion Airport,2.451834
"43.301111, -2.910556",Bilbao Airport,Spain,País Vasco,5218.78665,6777645,,ES,Bilbao Airport,521.878665
"41.7956, 12.2499",Roma Fiumicino Airport,Italy,Lazio,37886.87518,49203734,,IT,Roma Fiumicino Airport,3788.687518
"47.98882222, 10.23948333",Memmingen Airport,Germany,Schwaben,2464,3200000,,DE,Memmingen Airport,246.4
"48.77935278, 8.0805",Baden Airport,Germany,Karlsruhe,1387.078,1801400,,DE,Baden Airport,138.7078
"52.46021389, 9.683522222",Hannover Airport,Germany,Hannover,4022.28365,5223745,,DE,Hannover Airport,402.228365
"40.63111111, 8.288611111",Alghero Fertilia airport,Italy,Sardegna,1240.95125,1611625,,IT,Alghero Fertilia airport,124.095125
"48.97833333, 6.246666666",Metz-Nancy-Lorraine Airport,France,Lorraine,81.07176,105288,,FR,Metz-Nancy-Lorraine Airport,8.107176
"44.36222222, 28.48833333",Mihail Kogălniceanu International Airport,Romania,Sud-Est,84.21567,109371,,RO,Mihail Kogălniceanu International Airport,8.421567
"52.36224722, 13.50067222",Berlin Brandenburg Airport,Germany,Brandenburg,19608.72144,25465872,,DE,Berlin Brandenburg Airport,1960.872144
"45.07972222, 3.763333333",Le Puy – Loudes Airport,France,Auvergne,1.89574,2462,,FR,Le Puy – Loudes Airport,0.189574
"51.4775, -0.461389",London Heathrow Airport,,,64591.12044,83884572,,,London Heathrow Airport,6459.112044
"49.62333333, 6.204444444",Luxembourg Airport,Luxembourg,Luxembourg,4011.43512,5209656,,LU,Luxembourg Airport,401.143512
"37.842005, -4.848878",Córdoba Airport,Spain,Andalucía,6.52498,8474,,ES,Córdoba Airport,0.652498
"44.31805556, 23.88861111",Craiova Airport,Romania,Sud-Vest Oltenia,327.23152,424976,,RO,Craiova Airport,32.723152
"47.687478, 26.354025",Suceava International Airport,Romania,Nord-Est,574.882,746600,,RO,Suceava International Airport,57.4882
"47.02527778, 21.9025",Oradea International Airport,Romania,Nord-Vest,130.25782,169166,,RO,Oradea International Airport,13.025782
"48.68987778, 9.221963888",Stuttgart Airport,Germany,Stuttgart,7007,9100000,,DE,Stuttgart Airport,700.7
"35.27972222, -2.956388888",Melilla Airport,,,391.12689,507957,,,Melilla Airport,39.112689
"42.76111111, 10.23972222",Marina di Campo Airport,Italy,Toscana,1.39755,1815,,IT,Marina di Campo Airport,0.139755
"46.46777778, 24.4125",Târgu Mureș International Airport,Romania,Centru,164.25024,213312,,RO,Târgu Mureș International Airport,16.425024
"40.47222222, -3.560833333",Madrid-Barajas Airport,Spain,Comunidad de Madrid,50971.74082,66197066,,ES,Madrid-Barajas Airport,5097.174082
"49.4987, 11.07800833",Nuremberg Airport,Germany,Mittelfranken,3101.56,4028000,,DE,Nuremberg Airport,310.156
"44.5707306, 26.0822236",Henri Coandă International Airport,Romania,Bucureşti-Ilfov,12274.14111,15940443,,RO,Henri Coandă International Airport,1227.414111
"42.57277778, 21.03583333",Pristina International Airport Adem Jashari,XK,Kosovo,3143.51037,4082481,,XK,Pristina International Airport Adem Jashari,314.351037
"49.94581944, 7.261077777",Hahn Airport,Germany,Koblenz,1432.2,1860000,,DE,Hahn Airport,143.22
"45.7890231, 24.0949867",Sibiu International Airport,Romania,Centru,441.91686,573918,,RO,Sibiu International Airport,44.191686
"51.02222222, 71.46694444",Nursultan Nazarbayev International Airport,,,6402.63316,8315108,,,Nursultan Nazarbayev International Airport,640.263316
"45.7071, 25.5243",Brașov-Ghimbav International Airport,Romania,Centru,175.483,227900,,RO,Brașov-Ghimbav International Airport,17.5483
"60.29361111, 5.218061111",Bergen Airport,Norway,Vestlandet,5045.26022,6552286,,NO,Bergen Airport,504.526022
"46.23833333, 6.109444444",Geneva International Airport,Switzerland,Région lémanique,13703.17641,17796333,,CH,Geneva International Airport,1370.317641
"52.13861111, 15.79861111",Zielona Góra Airport,Poland,Lubuskie,2.26688,2944,,PL,Zielona Góra Airport,0.226688
"45.4609, 9.28",Linate Airport,Italy,Lombardia,7258.62368,9426784,,IT,Linate Airport,725.862368
"63.985, -22.60555556",Keflavík Airport,Iceland,Ísland,5987.63319,7776147,,IS,Keflavík Airport,598.763319
"40.51617222, 17.40478611",Taranto-Grottaglie Airport,Italy,Puglia,0.8316,1080,,IT,Taranto-Grottaglie Airport,0.08316
"49.00972222, 2.547777777",Paris-Charles de Gaulle Airport,France,Ile-de-France,51914.41332,67421316,,FR,Paris-Charles de Gaulle Airport,5191.441332
"42.35944444, 19.25194444",Podgorica Airport,ME,Crna Gora,1276.29194,1657522,,ME,Podgorica Airport,127.629194
"50.637778, 5.444167",Liege Airport,Belgium,Prov. Liège,135.21662,175606,,BE,Liege Airport,13.521662
"51.18944444, 4.460277777",Antwerp International Airport,Belgium,Prov. Antwerpen,200.01828,259764,,BE,Antwerp International Airport,20.001828
"55.97277778, 37.41472222",Sheremetyevo International Airport,,,28182,36600000,,,Sheremetyevo International Airport,2818.2
"46.46027778, 11.32638889",Bolzano airport,Italy,Provincia Autonoma di Bolzano/Bozen,64.42436,83668,,IT,Bolzano airport,6.442436
"65.28333333, -14.40138889",Egilsstaðir Airport,Iceland,Ísland,71.45215,92795,,IS,Egilsstaðir Airport,7.145215
"59.34333333, 5.2125","Haugesund Airport, Karmøy",,,478.40254,621302,,,"Haugesund Airport, Karmøy",47.840254
"49.70666667, -2.214444444",Alderney Airport,,,38.36371,49823,,,Alderney Airport,3.836371
"46.68638889, 17.15916667",Hévíz–Balaton Airport,Hungary,Nyugat-Dunántúl,3.14545,4085,,HU,Hévíz–Balaton Airport,0.314545
"51.38916667, 21.21361111",Warsaw Radom Airport,Poland,Mazowiecki regionalny,79.34696,103048,,PL,Warsaw Radom Airport,7.934696
"41.96111111, 21.62694444",Skopje International Airport,MK,Severna Makedonija,2220.20106,2883378,,MK,Skopje International Airport,222.020106
