location,name,country,province,kg_n_per_year,country_code,name_en
"45.8039985, 12.8875049",node/30407614,Italy,Veneto,490,IT,node/30407614
"42.1348639, 12.6023585",way/37013545,Italy,Lazio,490,IT,way/37013545
"43.8191479, 11.1740711",way/76738870,Italy,Toscana,490,IT,way/76738870
"45.4176736, 10.8265424",way/160239371,Italy,Veneto,490,IT,way/160239371
"44.7033725, 10.8475026",way/167388372,Italy,Emilia-Romagna,490,IT,way/167388372
"44.225043, 8.3598334",way/202601177,Italy,Liguria,490,IT,way/202601177
"43.2469162, 11.7748459",way/204722291,Italy,Toscana,490,IT,way/204722291
"43.2457469, 11.7741679",way/204722292,Italy,Toscana,490,IT,way/204722292
"45.0605841, 9.6527911",way/288223146,Italy,Emilia-Romagna,490,IT,way/288223146
"45.5707713, 9.1985386",node/305081133,Italy,Lombardia,490,IT,node/305081133
"45.4877804, 10.3019618",way/420344087,Italy,Lombardia,490,IT,way/420344087
"45.4851344, 10.3074371",way/461666801,Italy,Lombardia,490,IT,way/461666801
"43.6422797, 10.6170593",way/539707223,Italy,Toscana,490,IT,way/539707223
"45.4687845, 8.6569719",way/549288057,Italy,Piemonte,490,IT,way/549288057
"44.4188754, 12.2080504",node/550053934,Italy,Emilia-Romagna,490,IT,node/550053934
"45.4708311, 10.3751509",way/620108992,Italy,Lombardia,490,IT,way/620108992
"45.4457984, 9.0750756",way/960679449,Italy,Lombardia,490,IT,way/960679449
"45.0739306, 8.5093407",node/963236920,Italy,Piemonte,490,IT,node/963236920
"45.408193, 11.267167",way/1323096340,Italy,Veneto,490,IT,way/1323096340
"44.3126365, 9.9274919",node/1362334534,Italy,Toscana,490,IT,node/1362334534
"45.5092818, 9.0390457",node/1747624423,Italy,Lombardia,490,IT,node/1747624423
"44.8263053, 10.3780226",node/1929510004,Italy,Emilia-Romagna,490,IT,node/1929510004
"45.3914598, 9.1893982",node/2282914895,Italy,Lombardia,490,IT,node/2282914895
"39.2530296, 9.0591845",node/2310429921,Italy,Sardegna,490,IT,node/2310429921
"44.2931851, 11.8833619",node/2331104401,Italy,Emilia-Romagna,490,IT,node/2331104401
"42.351323, 13.3848342",node/2969859563,Italy,Abruzzo,490,IT,node/2969859563
"44.9084282, 8.6079813",node/3456136029,Italy,Piemonte,490,IT,node/3456136029
"41.9016306, 12.5023541",node/3485963126,nan,,490,nan,node/3485963126
"44.9341161, 8.8520518",node/3703635454,Italy,Piemonte,490,IT,node/3703635454
"41.9014957, 12.5022816",node/4843794221,nan,,490,nan,node/4843794221
"38.1852525, 15.5607803",node/7237111020,nan,,490,nan,node/7237111020
"40.6750651, 14.7725493",node/10237862152,Italy,Campania,490,IT,node/10237862152
"42.6702029, 13.9401711",node/13249270994,Italy,Abruzzo,490,IT,node/13249270994
"45.0728124, 7.6666267",node/5117627173,Italy,Piemonte,490,IT,node/5117627173
"45.455298, 8.347077",node/11898825742,Italy,Piemonte,490,IT,node/11898825742
"44.9333527, 8.8533119",node/10655781665,Italy,Piemonte,490,IT,node/10655781665
"45.1885946, 9.1445257",node/4300858898,Italy,Lombardia,490,IT,node/4300858898
"45.6615711, 8.5005222",node/4730516132,Italy,Piemonte,490,IT,node/4730516132
"45.4591599, 9.1728546",node/5365452511,Italy,Lombardia,490,IT,node/5365452511
"45.62509, 9.031126",node/10793792458,Italy,Lombardia,490,IT,node/10793792458
"45.1292483, 10.0540793",node/6112718352,Italy,Lombardia,490,IT,node/6112718352
"45.5116854, 9.6349776",node/11183471694,Italy,Lombardia,490,IT,node/11183471694
"45.818218, 8.8332707",node/7845550600,Italy,Lombardia,490,IT,node/7845550600
"43.6503704, 11.4638557",node/12460600641,Italy,Toscana,490,IT,node/12460600641
"44.5068326, 11.3445911",node/11726698814,Italy,Emilia-Romagna,490,IT,node/11726698814
"44.3419199, 11.8465526",node/12776754573,Italy,Emilia-Romagna,490,IT,node/12776754573
"44.3420494, 11.8463986",node/12776754580,Italy,Emilia-Romagna,490,IT,node/12776754580
"45.6080823, 12.2988544",node/10772030767,Italy,Veneto,490,IT,node/10772030767
"43.2855902, 13.7219905",node/12954326355,Italy,Marche,490,IT,node/12954326355
