location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"54.961111111, -1.579722222",Gateshead International Stadium,,,446.0,11800.0,,Gateshead International Stadium,27.258
"43.106111, 12.357222",Stadio Renato Curi,Italy,Umbria,1058.0,28000.0,IT,Stadio Renato Curi,81.928
"48.218775, 11.624752777",Allianz Arena,Germany,Oberbayern,2836.0,75024.0,DE,Allianz Arena,288.842
"49.426240624, 11.125617009",Max-Morlock-Stadion,Germany,Mittelfranken,1890.0,50000.0,DE,Max-Morlock-Stadion,192.5
"-22.912166666, -43.230163888",Maracanã Stadium,,,2980.0,78838.0,,Maracanã Stadium,303.526
"48.3233205, 10.8859261",WWK Arena,Germany,Schwaben,1159.0,30660.0,DE,WWK Arena,89.7112
"-34.545277777, -58.449722222",Mas Monumental Stadium,,,3197.0,84567.0,,Mas Monumental Stadium,423.258
"35.991744, 140.640525",Kashima Soccer Stadium,,,1540.0,40728.0,,Kashima Soccer Stadium,156.803
"51.6984, -2.233233",The New Lawn,,,195.0,5147.0,,The New Lawn,11.8896
"53.109706, -2.039742",Harrison Park,,,136.0,3600.0,,Harrison Park,6.93
"51.437172, 0.2308",Princes Park,,,155.0,4100.0,,Princes Park,7.8925
"53.138056, -1.200556",Field Mill,,,378.0,10000.0,,Field Mill,23.1
"52.818542, -2.116858",Marston Road,,,113.0,3000.0,,Marston Road,5.775
"52.818542, -2.116858",Marston Road,,,113.0,3000.0,,Marston Road,5.775
"51.449539, 0.322272",Stonebridge Road,,,189.0,5011.0,,Stonebridge Road,11.5754
"53.4506, -2.068114",Ewen Fields,,,154.0,4073.0,,Ewen Fields,7.84053
"53.218289, -0.540811",Sincil Bank,,,383.0,10120.0,,Sincil Bank,23.3772
"53.0945, -1.3813",North Street,,,136.0,3600.0,,North Street,6.93
"53.638089, -2.978856",Haig Avenue,,,227.0,6008.0,,Haig Avenue,13.8785
"54.123333333, -3.235",Holker Street,,,189.0,5000.0,,Holker Street,11.55
"53.399722222, -2.166388888",Edgeley Park,,,410.0,10841.0,,Edgeley Park,25.0427
"55.7914, 37.5597",VTB Arena,,,972.0,25712.0,,VTB Arena,75.2333
"51.884166666, -0.431666666",Kenilworth Road,,,391.0,10356.0,,Kenilworth Road,23.9224
"51.031389, 3.766111",Jules Ottenstadion,Belgium,Prov. Oost-Vlaanderen,488.0,12919.0,BE,Jules Ottenstadion,29.8429
"52.697272, -2.501336",SEAH Stadium,,,238.0,6300.0,,SEAH Stadium,14.553
"45.13130153, 8.4451282",Stadio Natale Palli,Italy,Piemonte,151.0,4000.0,IT,Stadio Natale Palli,7.7
"51.588333, -2.987778",Rodney Parade,,,344.0,9097.0,,Rodney Parade,21.0141
"52.2114, 0.153",Abbey Stadium,,,364.0,9617.0,,Abbey Stadium,22.2153
"44.9203, 8.616580555",Stadio Giuseppe Moccagatta,Italy,Piemonte,220.0,5827.0,IT,Stadio Giuseppe Moccagatta,13.4604
"53.669722, -1.479444",Belle Vue,,,202.0,5333.0,,Belle Vue,12.3192
"53.4319, -2.80481",Valerie Park,,,121.0,3200.0,,Valerie Park,6.16
"53.4319, -2.80481",Valerie Park,,,121.0,3200.0,,Valerie Park,6.16
"53.570225, -0.046497",Blundell Park,,,361.0,9546.0,,Blundell Park,22.0513
"51.875322, 0.572956",Cressing Road,,,157.0,4151.0,,Cressing Road,7.99068
"44.7682128, 8.7827971",Stadio Costante Girardengo,Italy,Piemonte,132.0,3500.0,IT,Stadio Costante Girardengo,6.7375
"52.380472222, -2.242652777",Aggborough,,,244.0,6444.0,,Aggborough,14.8856
"53.210556, -0.584167",Ashby Avenue,,,83.0,2200.0,,Ashby Avenue,4.235
"53.5167, -2.1804",Broadhurst Park,,,166.0,4400.0,,Broadhurst Park,8.47
"55.1209, -1.5112",Croft Park,,,,,,Croft Park,0
"52.6976, -1.98883",Keys Park,,,228.0,6039.0,,Keys Park,13.9501
"52.5207, -1.44253",Liberty Way,,,,,,Liberty Way,0
"52.628403, -1.688925",The Lamb Ground,,,151.0,4000.0,,The Lamb Ground,7.7
"52.628403, -1.688925",The Lamb Ground,,,154.0,4065.0,,The Lamb Ground,7.7
"53.809711, -1.664214",The Citadel,,,147.0,3900.0,,The Citadel,7.5075
"53.6455, -2.62921","Victory Park, Chorley",,,155.0,4100.0,,"Victory Park, Chorley",7.8925
"53.270472, -2.488717",Wincham Park,,,87.0,2300.0,,Wincham Park,4.4275
"54.3204, -2.73652222",Pye Motors Stadium,,,91.0,2400.0,,Pye Motors Stadium,4.62
"-34.79675, -56.067138888",Estadio Campeón del Siglo,,,1701.0,45000.0,,Estadio Campeón del Siglo,173.25
"53.5013006, -2.0797045",Hurst Cross Stadium,,,170.0,4500.0,,Hurst Cross Stadium,8.6625
"53.513638888, -2.276777777",Moor Lane,,,193.0,5108.0,,Moor Lane,11.7995
"51.422222222, -0.982777777",Madejski Stadium,,,913.0,24161.0,,Madejski Stadium,70.6951
"51.509166666, -0.232222222",Kiyan Prince Foundation Stadium,,,697.0,18439.0,,Kiyan Prince Foundation Stadium,53.9525
"52.509166666, -1.963888888",The Hawthorns,,,1000.0,26445.0,,The Hawthorns,77.3781
"54.914429068, -1.388172971",Stadium of Light,,,1827.0,48339.0,,Stadium of Light,186.105
"53.463055555, -2.291388888",Old Trafford,,,2863.0,75731.0,,Old Trafford,291.564
"52.622222222, 1.309166666",Carrow Road,,,1030.0,27244.0,,Carrow Road,79.7159
"51.538611111, -0.016388888",London Stadium,,,2363.0,62500.0,,London Stadium,240.625
"52.509166666, -1.884722222",Villa Park,,,1612.0,42640.0,,Villa Park,164.164
"54.975555555, -1.621666666",St James’ Park,,,1977.0,52305.0,,St James’ Park,201.374
"52.915, -1.447222222",Pride Park Stadium,,,1270.0,33597.0,,Pride Park Stadium,98.3048
"55.853055555, -4.309166666",Ibrox Stadium,,,1927.0,50987.0,,Ibrox Stadium,196.3
"55.849711111, -4.205588888",Celtic Park,,,2281.0,60355.0,,Celtic Park,232.367
"53.580555555, -2.535555555",Toughsheet Community Stadium,,,1086.0,28723.0,,Toughsheet Community Stadium,84.0435
"53.728611111, -2.489166666",Ewood Park,,,1186.0,31367.0,,Ewood Park,91.7798
"51.475, -0.221666666",Craven Cottage,,,971.0,25700.0,,Craven Cottage,75.1982
"52.590277777, -2.130277777",Molineux Stadium,,,1166.0,30852.0,,Molineux Stadium,90.273
"53.087419, -2.435747",Alexandra Stadium,,,384.0,10153.0,,Alexandra Stadium,23.4534
"48.684133, 17.376808",Štadión FK Senica,Slovakia,Západné Slovensko,192.0,5070.0,SK,Štadión FK Senica,11.7117
"53.547778, -2.653889",Q494388,,,950.0,25133.0,,Q494388,73.5392
"52.988333333, -2.175555555",Britannia Stadium,,,1049.0,27740.0,,Britannia Stadium,81.1672
"54.689139, -1.212722",Victoria Park,,,297.0,7856.0,,Victoria Park,18.1474
"50.90583333, -1.39111111",St Mary's Stadium,,,1232.0,32589.0,,St Mary's Stadium,95.3554
"51.6422, -3.9351",Liberty Stadium,,,784.0,20750.0,,Liberty Stadium,60.7145
"52.94, -1.132778",City Ground,,,1149.0,30404.0,,City Ground,88.9621
"51.099706, -0.194767",The Peoples Pension Stadium,,,232.0,6134.0,,The Peoples Pension Stadium,14.1695
"53.758856, -1.776203",Horsfall Stadium,,,132.0,3500.0,,Horsfall Stadium,6.7375
"50.735278, -1.838333",Dean Court,,,454.0,12000.0,,Dean Court,27.72
"53.586722, -0.69525",Glanford Park,,,344.0,9088.0,,Glanford Park,20.9933
"53.654166666, -1.768333333",Kirklees Stadium,,,926.0,24500.0,,Kirklees Stadium,71.687
"50.861822222, -0.083277777",Brighton Community Stadium,,,1202.0,31800.0,,Brighton Community Stadium,93.0468
"50.796388888, -1.063888888",Fratton Park,,,798.0,21100.0,,Fratton Park,61.7386
"53.580555555, -2.294722222",Gigg Lane,,,448.0,11840.0,,Gigg Lane,27.3504
"52.620277777, -1.142222222",Leicester City Stadium,,,1219.0,32261.0,,Leicester City Stadium,94.3957
"53.746111111, -0.367777777",MKM Stadium,,,960.0,25400.0,,MKM Stadium,74.3204
"53.411388888, -1.500555555",Hillsborough Stadium,,,1502.0,39732.0,,Hillsborough Stadium,116.256
"53.789064, -2.230225",Turf Moor,,,852.0,22546.0,,Turf Moor,65.9696
"51.44, -2.620278",Ashton Gate Stadium,,,1047.0,27699.0,,Ashton Gate Stadium,81.0473
"52.236666666, 6.8375",De Grolsch Veste,Netherlands,Overijssel,1134.0,30000.0,NL,De Grolsch Veste,87.78
"43.583296, 1.434055",Stadium Municipal,France,Midi-Pyrénées,1253.0,33150.0,FR,Stadium Municipal,96.9969
"43.62061, 3.81279",Stade de la Mosson,France,Languedoc-Roussillon,1244.0,32900.0,FR,Stade de la Mosson,96.2654
"52.475702777, -1.868188888",St Andrew's,,,1135.0,30016.0,,St Andrew's,87.8268
"54.578333333, -1.216944444",Riverside Stadium,,,1313.0,34742.0,,Riverside Stadium,101.655
"52.448056, -1.495556",Ricoh Arena,,,1233.0,32609.0,,Ricoh Arena,95.4139
"45.460749, 4.390171",Stade Geoffroy-Guichard,France,Rhône-Alpes,1586.0,41965.0,FR,Stade Geoffroy-Guichard,161.565
"51.472778, -3.203056",Cardiff City Stadium,,,1257.0,33260.0,,Cardiff City Stadium,97.3188
"53.804722, -3.048056",Bloomfield Road,,,655.0,17338.0,,Bloomfield Road,50.731
"53.555277777, -2.128611111",Boundary Park,,,402.0,10638.0,,Boundary Park,24.5738
"53.370277777, -1.470833333",Bramall Lane,,,1236.0,32702.0,,Bramall Lane,95.6861
"51.485833, -0.050833",The Den,,,762.0,20146.0,,The Den,58.9472
"51.560139, -0.012639",Brisbane Road,,,350.0,9271.0,,Brisbane Road,21.416
