location,name,country,province,kg_n_per_year,students,country_code,name_en,kg_p_per_year
"58.97005, 5.73332",University of Stavanger,Norway,Vestlandet,9964.5,12000,NO,University of Stavanger,996.45
"51.4742, -0.0356","Goldsmiths, University of London",,,7337.1935,8836,,"Goldsmiths, University of London",733.71935
"57.6983, 11.9717",University of Gothenburg,Sweden,Västsverige,30723.875,37000,SE,University of Gothenburg,3072.3875
"52.40833333, 16.93361111",Adam Mickiewicz University in PoznaÅ,Poland,Wielkopolskie,30734.66988,37013,PL,Adam Mickiewicz University in Poznań,3073.466988
"48.2013, 16.3651",Academy of Fine Arts Vienna,Austria,Wien,1339.394875,1613,AT,Academy of Fine Arts Vienna,133.9394875
"52.20805556, 0.1225",Trinity College,,,896.805,1080,,Trinity College,89.6805
"42.01194444, 23.08972222",American University in Bulgaria,Bulgaria,Yugozapaden,846.9825,1020,BG,American University in Bulgaria,84.69825
"50.84666667, 4.351666666",UniversitÃ© Libre de Bruxelles,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,26244.83225,31606,BE,Université Libre de Bruxelles,2624.483225
"50.83916667, 4.329722222",UniversitÃ© Libre de Bruxelles,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,26244.83225,31606,BE,Université Libre de Bruxelles,2624.483225
"50.83305556, 4.366944444",UniversitÃ© Libre de Bruxelles,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,26244.83225,31606,BE,Université Libre de Bruxelles,2624.483225
"57.05, 9.916666666",Aalborg University,Denmark,Nordjylland,16900.62238,20353,DK,Aalborg University,1690.062238
"44.40718611, 8.933983333",University of Genoa,Italy,Liguria,30498.013,36728,IT,University of Genoa,3049.8013
"47.07779, 15.44989",University of Graz,Austria,Steiermark,26762.98625,32230,AT,University of Graz,2676.298625
"59.43722222, 24.745",Tallinn University of Technology,Estonia,Eesti,11750.63663,14151,EE,Tallinn University of Technology,1175.063663
"43.51, 16.44",University of Split,,,21589.75,26000,,University of Split,2158.975
"44.87027778, 13.84555556",University of Pula,,,2491.125,3000,,University of Pula,249.1125
"52.24028, 21.01917",University of Warsaw,Poland,Warszawski stołeczny,35457.0125,42700,PL,University of Warsaw,3545.70125
"51.75, 19.46666667",University of ÅÃ³dÅº,Poland,Łódzkie,19254.7355,23188,PL,University of Łódź,1925.47355
"47.8, 13.045",University of Salzburg,Austria,Salzburg,14921.00838,17969,AT,University of Salzburg,1492.100838
"48.29083333, 25.93444444",Bukovinian State Medical University,,,4151.875,5000,,Bukovinian State Medical University,415.1875
"50.088, 14.4161",Charles University,Czechia,Praha,41110.2055,49508,CZ,Charles University,4111.02055
"60.3925, 5.323333333",University of Bergen,Norway,Vestlandet,14033.3375,16900,NO,University of Bergen,1403.33375
"59.3498, 18.0328",Karolinska Institutet,Sweden,Stockholm,4982.25,6000,SE,Karolinska Institutet,498.225
"50.06, 19.9328",Jagiellonian University,Poland,Małopolskie,27858.25088,33549,PL,Jagiellonian University,2785.825088
"45.40777778, 11.87333333",University of Padua,Italy,Veneto,52210.6585,62876,IT,University of Padua,5221.06585
"47.3749, 8.548",University of Zurich,Switzerland,Zürich,21367.2095,25732,CH,University of Zurich,2136.72095
"48.2131, 16.3597",University of Vienna,Austria,Wien,77746.3505,93628,AT,University of Vienna,7774.63505
"52.36666667, 4.883333333",University of Amsterdam,Netherlands,Noord-Holland,34045.375,41000,NL,University of Amsterdam,3404.5375
