WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Flensburg,54.8055,9.41293,224000,981120.0,Germany,Schleswig-Holstein,DEF0,Germany
ZKW Hansestadt Lübeck,53.9018,10.6963,427500,1872450.0,Germany,Schleswig-Holstein,DEF0,Germany
Lübeck-Priwall,53.9504,10.8638,31000,135780.0,Germany,Schleswig-Holstein,DEF0,Germany
Albersdorf,54.1442,9.27222,8300,36354.0,Germany,Schleswig-Holstein,DEF0,Germany
Brunsbüttel,53.8936,9.18218,18500,81030.0,Germany,,,Germany
Büsum,54.1257,8.87474,38000,166440.0,Germany,Schleswig-Holstein,DEF0,Germany
Burg,53.9862,9.25469,9500,41610.0,Germany,Schleswig-Holstein,DEF0,Germany
Friedrichskoog,54.0159,8.87495,8500,37230.0,,,,
Hemmingstedt,54.1497,9.09033,4990,21856.2,Germany,Schleswig-Holstein,DEF0,Germany
Hennstedt,54.2874,9.1689,3800,16644.0,Germany,Schleswig-Holstein,DEF0,Germany
Lunden/Lehe,54.3356,9.01484,4999,21895.62,Germany,Schleswig-Holstein,DEF0,Germany
Heide,54.1827,9.0542,40000,175200.0,Germany,Schleswig-Holstein,DEF0,Germany
Marne,53.9537,9.02812,90000,394200.0,Germany,Schleswig-Holstein,DEF0,Germany
St.Michaelisdonn,53.977,9.11568,12342,54057.96,Germany,Schleswig-Holstein,DEF0,Germany
Sarzbüttel,54.1235,9.16836,3750,16425.0,Germany,Schleswig-Holstein,DEF0,Germany
Tellingstedt,54.225,9.27088,4000,17520.0,Germany,Schleswig-Holstein,DEF0,Germany
Weddingstedt,54.2445,9.09301,3400,14892.0,Germany,Schleswig-Holstein,DEF0,Germany
Wesselburen,54.2197,8.93109,4999,21895.62,Germany,Schleswig-Holstein,DEF0,Germany
Meldorf,54.0771,9.0864,72150,316017.0,Germany,Schleswig-Holstein,DEF0,Germany
Berkenthin,53.7398,10.6492,4800,21024.0,Germany,Schleswig-Holstein,DEF0,Germany
Büchen,53.4986,10.6276,11000,48180.0,Germany,Schleswig-Holstein,DEF0,Germany
Einhaus,53.7229,10.7405,8400,36792.0,Germany,Schleswig-Holstein,DEF0,Germany
Geesthacht,53.4335,10.3341,60000,262800.0,Germany,Schleswig-Holstein,DEF0,Germany
