WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
KA AZV HOHLEBACHTAL - STEINENSTADT,47.7656,7.53585,16300,70416,France,Alsace,FRF1,FR,11736
SKA KEHL,48.6184,7.84203,48000,207360,France,Alsace,FRF1,FR,34560
SKA AWV NEURIED SCHUTTERWALD,48.4802,7.80347,25000,108000,France,Alsace,FRF1,FR,18000
SKA SCHWANAU NORD -OTTENHEIM-,48.3913,7.74873,3900,16848,France,Alsace,FRF1,FR,2808
SKA MEISSENHEIM,48.4185,7.77427,3500,15120,France,Alsace,FRF1,FR,2520
KA GERSHEIM,49.1392,7.19812,4600,19872,France,Lorraine,FRF3,FR,3312
KA DORF IM WARNDT,49.1834,6.82039,2000,8640,France,Lorraine,FRF3,FR,1440
KA LAUTERBACH,49.1899,6.75845,3000,12960,France,Lorraine,FRF3,FR,2160
WIERS,50.5047,3.5269,2600,11232,France,Nord-Pas de Calais,FRE1,FR,1872
ARMENTIERES (F),50.694,2.9062,65000,280800,France,Nord-Pas de Calais,FRE1,FR,46800
QUIEVRAIN,50.414,3.6733,4333,18718.56,France,Nord-Pas de Calais,FRE1,FR,3119.76
COMINES,50.7735,3.0143,40000,172800,France,Nord-Pas de Calais,FRE1,FR,28800
RODERSDORF,47.488204,7.457584,2800,12096,France,Alsace,FRF1,FR,2016
ARA Birsig,47.505217,7.556767,30000,129600,France,Alsace,FRF1,FR,21600
ARA BURG,47.459281,7.443928,300,1296,France,Alsace,FRF1,FR,216
Champéry,46.175609,6.875356,3750,16200,France,Rhône-Alpes,FRK2,FR,2700
St-Gingolph,46.389577,6.815668,3227,13940.64,France,Rhône-Alpes,FRK2,FR,2323.44
LES BRENETS,47.063814,6.695848,2500,10800,France,Franche-Comté,FRC2,FR,1800
LA BREVINE,46.979118,6.6054,1000,4320,France,Franche-Comté,FRC2,FR,720
CHANCY,46.145353,5.965761,13600,58752,France,Rhône-Alpes,FRK2,FR,9792
THONEX/VILLETTE,46.179489,6.184506,50000,216000,France,Rhône-Alpes,FRK2,FR,36000
STEP MONTIGNEZ,47.487422,7.065957,567,2449.44,France,Franche-Comté,FRC2,FR,408.24
CESANA TORINESE - FRAZ. BOUSSON,44.93464202,6.814177524,9000,38880,France,Provence-Alpes-Côte d’Azur,FRL0,FR,6480
GOUZEAUCOURT,50.06025732,3.133709709,3500,15120,France,Nord-Pas de Calais,FRE1,FR,2520
HONDSCHOOTE-NOUVELLE,50.98027937,2.576096663,9855,42573.6,France,Nord-Pas de Calais,FRE1,FR,7095.6
ARDRES,50.86232739,1.969680141,5833,25198.56,France,Nord-Pas de Calais,FRE1,FR,4199.76
BOHAIN EN VERMANDOIS,49.97989428,3.438455468,9150,39528,France,Picardie,FRE2,FR,6588
FRESNOY-LE-GRAND,49.94106567,3.408933432,7770,33566.4,France,Picardie,FRE2,FR,5594.4
JUSSY,49.72240294,3.221221584,9900,42768,France,Picardie,FRE2,FR,7128
LE NOUVION-EN-THIERACHE II,50.01160692,3.766267579,3800,16416,France,Nord-Pas de Calais,FRE1,FR,2736
GAUCHY,49.83050098,3.276299889,136250,588600,France,Picardie,FRE2,FR,98100
SERAUCOURT LE GRAND (NOUVELLE),49.76991605,3.205279894,2160,9331.2,France,Picardie,FRE2,FR,1555.2
VERMAND SE,49.87179924,3.146698727,5850,25272,France,Picardie,FRE2,FR,4212
AUBERCHICOURT,50.34231471,3.228648192,28167,121681.44,France,Nord-Pas de Calais,FRE1,FR,20280.24
VILLENEUVE-D'ASCQ,50.62802835,3.185476926,151083,652678.56,France,Nord-Pas de Calais,FRE1,FR,108779.76
ANNOEULLIN,50.54028544,2.935056896,27300,117936,France,Nord-Pas de Calais,FRE1,FR,19656
ANOR,49.98109066,4.095156144,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
ARLEUX,50.27410206,3.105119213,7050,30456,France,Nord-Pas de Calais,FRE1,FR,5076
ARMENTIERES,50.69339912,2.906688659,64150,277128,France,Nord-Pas de Calais,FRE1,FR,46188
ATTICHES,50.52077112,3.067395821,3000,12960,France,Nord-Pas de Calais,FRE1,FR,2160
AUBERS,50.60561449,2.830189324,2700,11664,France,Nord-Pas de Calais,FRE1,FR,1944
