WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
AEGINIO,40.50915252,22.54469026,11000,47520,Greece,Central Macedonia,EL52,Greece,7920
AEGIO,38.26295462,22.07385385,40000,172800,Greece,Western Greece,EL63,Greece,28800
AGHIA,39.69225501,22.77081885,9750,42120,Greece,Thessaly,EL61,Greece,7020
AGHIOKABOS,39.700745,22.837538,13800,59616,Greece,Thessaly,EL61,Greece,9936
AGHIOS NIKOLAOS CRETE,35.1821827,25.70432107,39000,168480,Greece,Crete,EL43,Greece,28080
AGHIOS NIKOLAOS SITHONIAS,40.24661624,23.71010602,3000,12960,Greece,Central Macedonia,EL52,Greece,2160
AGRINIO,38.60545228,21.26557858,65000,280800,Greece,Western Greece,EL63,Greece,46800
ALEXANDRIA IMATHIAS,40.63867363,22.43107756,30000,129600,Greece,Central Macedonia,EL52,Greece,21600
ALEXANDROUPOLI,40.84885423,25.91457848,85000,367200,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,61200
ALIVERI,38.39823886,24.02782616,15000,64800,Greece,Central Greece,EL64,Greece,10800
ALMYROS,39.18013292,22.77175236,18000,77760,Greece,Thessaly,EL61,Greece,12960
AMALIADA,37.80300077,21.32905568,23833,102958.56,Greece,Western Greece,EL63,Greece,17159.76
AMARYNTHOS,38.416073,23.906103,16200,69984,Greece,Central Greece,EL64,Greece,11664
AMFILOCHIA,38.89242275,21.15005476,8000,34560,Greece,Western Greece,EL63,Greece,5760
AMFISSA,38.52644287,22.39632036,7000,30240,Greece,Central Greece,EL64,Greece,5040
AMYNTEO,40.70720104,21.67783071,12000,51840,Greece,Western Macedonia,EL53,Greece,8640
ANOGIA,35.29477603,24.87538216,5000,21600,Greece,Crete,EL43,Greece,3600
ARACHOVA,38.4769489,22.5862911,7330,31665.6,Greece,Central Greece,EL64,Greece,5277.6
ARCHANES,35.24990514,25.15338314,10000,43200,Greece,Crete,EL43,Greece,7200
ARCHEA EPIDAVROS,37.64465206,23.15578368,5000,21600,Greece,Peloponnese,EL65,Greece,3600
ARCHEA OLYMPIA,37.63368972,21.61630641,11833,51118.56,Greece,Western Greece,EL63,Greece,8519.76
ARGOS-NAFPLIO,37.59398702,22.78121184,133000,574560,Greece,Peloponnese,EL65,Greece,95760
ARKALOCHORI,35.14249,25.287161,7500,32400,Greece,Crete,EL43,Greece,5400
ARMENI,35.45270188,24.17946473,2900,12528,Greece,Crete,EL43,Greece,2088
ARTA,39.13549262,20.99100926,36670,158414.4,Greece,Epirus,EL54,Greece,26402.4
ASPROVALTA,40.73885649,23.70657061,40000,172800,Greece,Central Macedonia,EL52,Greece,28800
BALI,35.40684017,24.77966601,4666,20157.12,Greece,Crete,EL43,Greece,3359.52
BENITSES,39.54613012,19.90743585,13333,57598.56,Greece,Ionian Islands,EL62,Greece,9599.76
CHALASTRA,40.6283581,22.76065337,12000,51840,Greece,Central Macedonia,EL52,Greece,8640
CHALKIDA,38.44490748,23.60469551,111600,482112,Greece,Central Greece,EL64,Greece,80352
CHANIA,35.53808566,24.05217624,170000,734400,Greece,Crete,EL43,Greece,122400
CHANIOTIS,39.98839043,23.57222535,15000,64800,Greece,Central Macedonia,EL52,Greece,10800
CHERSONISSOS,35.32082857,25.37335121,40000,172800,Greece,Crete,EL43,Greece,28800
CHIOS,38.34760487,26.14369311,32500,140400,Greece,North Aegean,EL41,Greece,23400
CHORA ANDROS,37.847423,24.93798,12500,54000,Greece,South Aegean,EL42,Greece,9000
CHORISTI,41.1089,24.211466,3500,15120,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,2520
CHORTIATIS,40.6157007,23.09085142,4500,19440,Greece,Central Macedonia,EL52,Greece,3240
CHORYGIO,41.03496,22.7638446,3100,13392,Greece,Central Macedonia,EL52,Greece,2232
CHRYSSOUPOLI,40.96252941,24.70467935,16000,69120,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,11520
DELFI,38.47120013,22.46327129,13000,56160,Greece,Central Greece,EL64,Greece,9360
DESFINA,38.4258378,22.51792492,3000,12960,Greece,Central Greece,EL64,Greece,2160
DESKATI,39.91654003,21.84003547,7020,30326.4,Greece,Western Macedonia,EL53,Greece,5054.4
DIKEOU,36.857498,27.177488,25000,108000,Greece,South Aegean,EL42,Greece,18000
DIONYSSIOU,40.26594843,23.24068857,12000,51840,Greece,Central Macedonia,EL52,Greece,8640
DOMOKOS,39.118683,22.335832,3500,15120,Greece,Central Greece,EL64,Greece,2520
DRAMA,41.11860098,24.11505258,60000,259200,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,43200
ECHINOS,41.2754,24.9724,2800,12096,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,2016
EDESSA,40.78378356,22.06497252,36167,156241.44,Greece,Central Macedonia,EL52,Greece,26040.24
ELASSONA,39.88402885,22.17568082,12233,52846.56,Greece,Thessaly,EL61,Greece,8807.76
ELEFTHEROUPOLI,40.92596906,24.27571079,8300,35856,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,5976
ELOUNTA,35.25246765,25.71019856,5000,21600,Greece,Crete,EL43,Greece,3600
ERMIONI,37.39067391,23.25932758,8667,37441.44,Greece,Aττική,EL30,Greece,6240.24
ERYTHRES,38.22898457,23.33408167,6600,28512,Greece,Central Greece,EL64,Greece,4752
ETOLIKO,38.41919156,21.36331121,6417,27721.44,Greece,Western Greece,EL63,Greece,4620.24
EVROPOS,40.90903547,22.56194813,2700,11664,Greece,Central Macedonia,EL52,Greece,1944
FARSALA,39.30461654,22.37566862,15417,66601.44,Greece,Thessaly,EL61,Greece,11100.24
FERES,40.880792,26.178528,7000,30240,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,5040
FILIATES,39.583844,20.307635,3300,14256,Greece,Epirus,EL54,Greece,2376
FILIPPIADA,39.18377977,20.89264561,11667,50401.44,Greece,Epirus,EL54,Greece,8400.24
FILLIPI,40.95956554,24.32571169,20000,86400,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,14400
FLORINA,40.78433636,21.4288039,30333,131038.56,Greece,Western Macedonia,EL53,Greece,21839.76
