WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Aba Kistersegi-Szennyviztisztito Telep,47.010866,18.493945,11500,50370.0,Hungary,Közép-Dunántúl,HU21,Hungary
Abadszalok - Szennyviztisztito Telep,47.4274,20.580171,16085,70452.3,Hungary,Észak-Alföld,HU32,Hungary
Abaliget - Szennyviztisztito Telep,46.153831,18.086468,1760,7708.8,Hungary,Dél-Dunántúl,HU23,Hungary
Abaujszanto - Szennyviztisztito Telep,48.260042,21.178422,10542,46173.96,Hungary,Észak-Magyarország,HU31,Hungary
Abaujvar - Szennyviztisztito Telep,48.528179,21.313814,90,394.2,Hungary,Észak-Magyarország,HU31,Hungary
Abod - Szennyviztisztito Telep,48.393238,20.785159,200,876.0,Hungary,Észak-Magyarország,HU31,Hungary
Abony - Szennyviztisztito Telep,47.164083,20.003175,20942,91725.96,Hungary,Észak-Alföld,HU32,Hungary
Acs - Szennyviztisztito Telep,47.725314,18.015208,9770,42792.6,Hungary,Közép-Dunántúl,HU21,Hungary
Acsteszer - Szennyviztisztito Telep,47.415533,18.002699,750,3285.0,Hungary,Közép-Dunántúl,HU21,Hungary
Adacs - Szennyviztisztito Telep,47.691195,19.960906,8667,37961.46,Hungary,Észak-Magyarország,HU31,Hungary
Adand - Szennyviztisztito Telep,46.864058,18.166305,2300,10074.0,Hungary,Dél-Dunántúl,HU23,Hungary
Adony - Szennyviztisztito Telep,47.108956,18.869615,3960,17344.8,Hungary,Közép-Dunántúl,HU21,Hungary
Aggtelek - Szennyviztisztito Telep,48.461077,20.504494,1500,6570.0,Hungary,Észak-Magyarország,HU31,Hungary
Ajak - Szennyviztisztito Telep,48.184889,22.073953,4687,20529.06,Hungary,Észak-Alföld,HU32,Hungary
Ajka - Szennyviztisztito Telep,47.110545,17.544011,42800,187464.0,Hungary,Közép-Dunántúl,HU21,Hungary
Alattyan - Szennyviztisztito Telep,47.419107,20.040158,2500,10950.0,Hungary,Észak-Alföld,HU32,Hungary
Albertirsa - Szennyviztisztito Telep,47.236418,19.642912,12900,56502.0,Hungary,Pest,HU12,Hungary
Algyo - Szennyviztisztito Telep,46.31453,20.221334,12000,52560.0,Hungary,Dél-Alföld,HU33,Hungary
Almosd - Szennyviztisztito Telep,47.432824,21.973958,833,3648.54,Hungary,Észak-Alföld,HU32,Hungary
Alsoberecki - Szennyviztisztito Telep,48.353444,21.702025,1660,7270.8,Hungary,Észak-Magyarország,HU31,Hungary
Alsomocsolad - Szennyviztisztito Telep,46.312937,18.242914,250,1095.0,Hungary,Dél-Dunántúl,HU23,Hungary
Alsonemedi - Szennyviztisztito Telep,47.292286,19.166088,7430,32543.4,Hungary,Pest,HU12,Hungary
Alsovadasz - Szennyviztisztito Telep,48.239177,20.908836,1530,6701.4,Hungary,Észak-Magyarország,HU31,Hungary
Apagy - Szennyviztisztito Telep,47.963313,21.906007,6757,29595.66,Hungary,Észak-Alföld,HU32,Hungary
Apostag - Szennyviztisztito Telep,46.888815,18.955517,6875,30112.5,Hungary,Dél-Alföld,HU33,Hungary
Aranyosapati - Szennyviztisztito Telep,48.217993,22.252597,2077,9097.26,Hungary,Észak-Alföld,HU32,Hungary
Arlo - Szennyviztisztito Telep,48.18173,20.255277,3650,15987.0,Hungary,Észak-Magyarország,HU31,Hungary
Arokto - Szennyviztisztito Telep,47.72594,20.941353,192,840.96,Hungary,Észak-Alföld,HU32,Hungary
Asotthalom - Szennyviztisztito Telep,46.20349,19.792913,2460,10774.8,Hungary,Dél-Alföld,HU33,Hungary
Aszod - Szennyviztisztito Telep,47.64485,19.487169,22916,100372.08,Hungary,Pest,HU12,Hungary
Babolna - Szennyviztisztito Telep,47.643699,17.946992,5833,25548.54,Hungary,Közép-Dunántúl,HU21,Hungary
Bacsalmas - Szennyviztisztito Telep,46.113397,19.335454,7600,33288.0,Hungary,Dél-Alföld,HU33,Hungary
Bagamer - Szennyviztisztito Telep,47.439263,21.9929,2078,9101.64,Hungary,Észak-Alföld,HU32,Hungary
Baja - Szennyviztisztito Telep,46.181633,18.929021,111000,486180.0,Hungary,Dél-Alföld,HU33,Hungary
Bajansenye - Szennyviztisztito Telep,46.79206,16.411862,1350,5913.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Bakonybank - Szennyviztisztito Telep,47.460068,17.919789,2207,9666.66,Hungary,Közép-Dunántúl,HU21,Hungary
Bakonybel - Szennyviztisztito Telep,47.261057,17.717682,1000,4380.0,Hungary,Közép-Dunántúl,HU21,Hungary
Bakonycsernye - Szennyviztisztito Telep,47.322899,18.128808,3100,13578.0,Hungary,Közép-Dunántúl,HU21,Hungary
Bakonypeterd Szennyviztisztito Telep,47.4626,17.799045,287,1257.06,Hungary,Nyugat-Dunántúl,HU22,Hungary
Bakonyszentlaszlo - Szennyviztisztito Telep,47.398476,17.803949,2733,11970.54,Hungary,Nyugat-Dunántúl,HU22,Hungary
Bakonyszombathely - Szennyviztisztito Telep,47.497731,17.934879,2562,11221.56,Hungary,Közép-Dunántúl,HU21,Hungary
Baks - Szennyviztisztito Telep,46.557807,20.09589,2385,10446.3,Hungary,Dél-Alföld,HU33,Hungary
Baktaloranthaza - Szennyviztisztito Telep,48.001983,22.069804,4019,17603.22,Hungary,Észak-Alföld,HU32,Hungary
Balajt - Szennyviztisztito Telep,48.322377,20.782744,200,876.0,Hungary,Észak-Magyarország,HU31,Hungary
Balassagyarmat - Szennyviztisztito Telep,48.071605,19.267669,33750,147825.0,Hungary,Észak-Magyarország,HU31,Hungary
Balastya - Szennyviztisztito Telep,46.425669,20.014507,3678,16109.64,Hungary,Dél-Alföld,HU33,Hungary
Balatonfokajar - Szennyviztisztito Telep,47.005423,18.193816,29933,131106.54,Hungary,Közép-Dunántúl,HU21,Hungary
Bank - Szennyviztisztito Telep,47.922804,19.196811,890,3898.2,Hungary,Észak-Magyarország,HU31,Hungary
Balatonfured - Szennyviztisztito Telep,46.943083,17.870903,45883,200967.54,Hungary,Közép-Dunántúl,HU21,Hungary
Balatonfuzfo - Szennyviztisztito Telep,47.092312,18.047005,49174,215382.12,Hungary,Közép-Dunántúl,HU21,Hungary
