WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
Depuratore urbano Tivoli-BORGONOVO,41.940261,12.699519,9000,38880,Italy,Lazio,ITI4,Italy,6480
Depuratore urbano Poli-MAIORI,41.888235,12.87945,3500,15120,Italy,Lazio,ITI4,Italy,2520
Depuratore urbano Rocca Priora-MONTAGNA SPACCATA loc Beccaccia,41.789396,12.768302,3500,15120,Italy,Lazio,ITI4,Italy,2520
Depuratore urbano Formello-LOC BACCANALE (comparto B),42.054883,12.378206,3000,12960,Italy,Lazio,ITI4,Italy,2160
Depuratore urbano Acea Ato 2 S.p.A. S.Orsio,42.211674,12.097766,1900,8208,Italy,Lazio,ITI4,Italy,1368
Depuratore urbano Pomezia-SANTA PALOMBA,41.70768,12.570132,1700,7344,Italy,Lazio,ITI4,Italy,1224
Depuratore urbano Formello-LE RUGHE (basse),42.080017,12.382775,800,3456,Italy,Lazio,ITI4,Italy,576
Depuratore urbano Fiumicino-ARANOVA,41.915039,12.259604,800,3456,Italy,Lazio,ITI4,Italy,576
Depuratore urbano Pisoniano-FRANCHELEO,41.902912,12.968935,1200,5184,Italy,Lazio,ITI4,Italy,864
Depuratore Urbano Carpineto - Annunziata,41.616146,13.076885,5000,21600,Italy,Lazio,ITI4,Italy,3600
Depuratore Boccapiana 2,41.83244,12.856165,5000,21600,Italy,Lazio,ITI4,Italy,3600
Depuratore Valle Marciana 2,41.789513,12.65345,40000,172800,Italy,Lazio,ITI4,Italy,28800
VIA_DEL_CAMPO,41.56837,12.68592,90000,388800,Italy,Lazio,ITI4,Italy,64800
VIA_PANTANO,41.47218,13.33168,2000,8640,Italy,Lazio,ITI4,Italy,1440
PORTO_D_ARZINO,41.27785,13.82557,9500,41040,Italy,Campania,ITF3,Italy,6840
CERCIABELLA,41.5742,12.8446,30000,129600,Italy,Lazio,ITI4,Italy,21600
PISCHERI,41.6818,12.8723,2500,10800,Italy,Lazio,ITI4,Italy,1800
SPINETE_MARANGIO,41.3495,13.4145,30000,129600,Italy,Lazio,ITI4,Italy,21600
SALTO_DI_FONDI,41.2982,13.3246,8000,34560,Italy,Lazio,ITI4,Italy,5760
MAMURRANO,41.2663,13.6617,55000,237600,Italy,Lazio,ITI4,Italy,39600
ARZANO,41.2382,13.5578,55000,237600,Italy,Lazio,ITI4,Italy,39600
RIO_TORTO,41.28552,13.53637,15200,65664,Italy,Lazio,ITI4,Italy,10944
LATINA_MARE,41.41569,12.81499,15000,64800,Italy,Lazio,ITI4,Italy,10800
Brusio (Li Geri),46.23761,10.135273,2333,10078.56,Italy,Lombardia,ITC4,Italy,1679.76
Poschiavo (Li Geri),46.294758,10.082272,8625,37260,Italy,Lombardia,ITC4,Italy,6210
Bregaglia,46.339911,9.577481,4500,19440,Italy,Lombardia,ITC4,Italy,3240
Rancate (Mendrisio),45.887655,8.974678,62000,267840,Italy,Lombardia,ITC4,Italy,44640
Vacallo (Chiasso),45.840684,9.035099,37500,162000,Italy,Lombardia,ITC4,Italy,27000
Col Gd St-Bernard,45.868969,7.173264,355,1533.6,Italy,Valle d’Aosta/Vallée d’Aoste,ITC2,Italy,255.6
LATINA_EST,41.4637,12.9296,60000,259200,Italy,Lazio,ITI4,Italy,43200
LATINA_CICERCHIA,41.4355,12.8817,60000,259200,Italy,Lazio,ITI4,Italy,43200
LATINA_SCALO,41.5229,12.9509,15000,64800,Italy,Lazio,ITI4,Italy,10800
BORGO_GRAPPA,41.3888,12.9419,3000,12960,Italy,Lazio,ITI4,Italy,2160
BORGO_PIAVE,41.488,12.8709,7500,32400,Italy,Lazio,ITI4,Italy,5400
BORGO_S_MICHELE,41.4387,12.9718,2800,12096,Italy,Lazio,ITI4,Italy,2016
POZZAVEGLI,41.3963,13.4634,3500,15120,Italy,Lazio,ITI4,Italy,2520
MAENZA_VIA_CARPINETANA,41.5261,13.176,3700,15984,Italy,Lazio,ITI4,Italy,2664
PANTANO,41.237,13.7613,70000,302400,Italy,Lazio,ITI4,Italy,50400
NORMA,41.5915,12.9825,5000,21600,Italy,Lazio,ITI4,Italy,3600
MIGLIARA_48,41.4143,13.0586,8000,34560,Italy,Lazio,ITI4,Italy,5760
MOLE_COMUNI,41.4707,13.1922,12000,51840,Italy,Lazio,ITI4,Italy,8640
SABAUDIA_BELSITO,41.3108,13.01,30000,129600,Italy,Lazio,ITI4,Italy,21600
BELLA_FARNIA,41.3647,12.9666,2000,8640,Italy,Lazio,ITI4,Italy,1440
CASALI,41.5083,13.0554,9000,38880,Italy,Lazio,ITI4,Italy,6480
LA_SASSA,41.4197,13.2404,3500,15120,Italy,Lazio,ITI4,Italy,2520
SALETTE,41.2663,13.4182,22000,95040,Italy,Lazio,ITI4,Italy,15840
BORGO_HERMADA,41.2961,13.1899,55000,237600,Italy,Lazio,ITI4,Italy,39600
FORTIDICO,41.4474,13.3999,3200,13824,Italy,Lazio,ITI4,Italy,2304
LA_COGNA,41.5746,12.5784,2920,12614.4,Italy,Lazio,ITI4,Italy,2102.4
PONTE BUCCETTA,41.5246,13.1636,3000,12960,Italy,Lazio,ITI4,Italy,2160
NUOVO_VIA ARCHI DI SAN LIDANO,41.4897,13.0252,10000,43200,Italy,Lazio,ITI4,Italy,7200
FRATTUCCE,41.74919,13.1736946,3000,12960,Italy,Lazio,ITI4,Italy,2160
PANTANE,41.7259661,13.1327968,3300,14256,Italy,Lazio,ITI4,Italy,2376
PONTE_PIANO,41.7577703,13.1174561,10000,43200,Italy,Lazio,ITI4,Italy,7200
VIA_VADO_LA_MOLA,41.6963185,13.6425741,2176,9400.32,Italy,Lazio,ITI4,Italy,1566.72
VIA_S_PAOLO,41.673366,13.5553417,3500,15120,Italy,Lazio,ITI4,Italy,2520
CEPRANO_SCALO,41.5281143,13.5287919,1200,5184,Italy,Lazio,ITI4,Italy,864
CORSO_DELLA_REPUBBLICA_LIMATELLE,41.5424468,13.5173318,6000,25920,Italy,Lazio,ITI4,Italy,4320
